title,text
Quando si svolgerà?, Dal 30 ottobre al 5 novembre
Dove si svolgerà?, Nella città di Trento
Come si svolgerà?, Con il tuo smartphone ti basterà accedere al link che ti invieremo per email e rispondere alle domande presenti sulla mappa 
Chi può partecipare?, Possono partecipare tutte le persone che si registreranno alla competizione a questo <a href='https://survey.wikimedia.it/index.php/581781'>indirizzo</a>
Cosa devi fare?, L’applicazione mostra una mappa con una serie di domande a cui rispondere&#44; dovrai solamente muoverti per strada e verificare la presenza di dettagli stradali utili ai ciclisti urbani. 
Valutazione, Più saranno le domande a cui risponderai correttamente&#44; più punti ti aggiudicherai per la classifica finale
Premi, Chi si aggiudica i primi tre posti in classifica vincerà un premio&#44; scopri quali sono nella sezione premi
Regolamento completo, Qui puoi leggere una sintesi qui&#44; scarica il <a href='https://bikingimproverday.it/regolamento_bikingimproverday.pdf'>documento completo</a>
